Species,Sample,Chemical,Instrument,Application,good,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_Lit,Koc_Lab,HalfLife_day,HabFac,Hlaw,#frogs
Green treefrog,HCOA5,Deisopropyl Atrazine,LCMS,Overspray,1,NA,4.069037388,0.02751004,2.5,147.9109976,3.13181,3.8345,30,0.03,215.68,1.187,NA,2.46280466,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA1,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.892211285,0.012717634,2.5,70.15544354,1.31617,1.703,30,0.03,215.68,1.187,NA,1.539344719,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA2,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.668766928,0.012717634,2.5,52.58579585,1.8349,2.1766,30,0.03,215.68,1.187,NA,1.774338306,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA3,Deisopropyl Atrazine,LCMS,Soil,1,NA,1.188007893,0.012717634,2.5,93.41421929,2.11135,2.5592,30,0.03,215.68,1.187,NA,1.948744724,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA4,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.813593703,0.012717634,2.5,63.97366639,1.88638,2.1335,30,0.03,215.68,1.187,NA,1.753909771,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA5,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.769493125,0.012717634,2.5,60.50599491,0.73631,0.8415,30,0.03,215.68,1.187,NA,1.023455444,0.04,122,200,80,Arboreal,2.36E-09,1
Leopard frog,LFA1,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.26513528,0.012518593,2.5,21.17931905,1.74298,1.9611,30,0.03,215.68,1.187,NA,1.670397973,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA2,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.904359089,0.012518593,2.5,72.24127127,3.042,3.60864,30,0.03,215.68,1.187,NA,2.377740885,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA3,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.459607257,0.012518593,2.5,36.71397009,2.243,2.90716,30,0.03,215.68,1.187,NA,2.098027218,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA4,Deisopropyl Atrazine,LCMS,Soil,1,NA,0.753170376,0.012518593,2.5,60.16413844,2.0197,2.35487,30,0.03,215.68,1.187,NA,1.857083629,0.04,122,200,80,Aquatic,2.36E-09,1
