Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
Atrazine,001912-24-9,1.02E-05,3.13E+02,1.18E+00,2.36E-01,NA,5.28E-02,6.17E-06,7.94E+00,9.65E-08,NA,2.25E+02,5.24E-03,2.61E+00,3.22E-06,1.73E+02,2.16E+02,1.00E-01,1.00E+00,3.47E+01,2.89E-07
Auramine,000492-80-8,NA,3.31E+02,NA,NA,NA,4.58E-02,5.35E-06,4.32E+01,1.49E-07,NA,4.46E+03,1.11E-02,2.98E+00,NA,1.36E+02,2.67E+02,1.00E-01,1.00E+00,1.00E+04,2.91E-05
Avermectin B1,065195-55-3,NA,9.41E+02,NA,NA,NA,2.08E-02,2.43E-06,NA,5.40E-26,NA,8.77E+05,1.81E-05,4.48E+00,NA,3.50E+02,8.75E+02,1.00E-01,1.00E+00,1.42E+00,1.46E-30
Azaserine,000115-02-6,2.50E-10,5.59E+02,5.56E+02,1.11E+02,NA,6.12E-02,7.15E-06,3.16E+00,1.33E-09,NA,1.00E+01,7.84E-06,-2.00E+00,7.90E-11,1.54E+02,1.73E+02,1.00E-01,1.00E+00,5.86E+05,4.19E-11
Azathioprine,000446-86-6,3.15E-08,5.66E+02,3.37E+01,6.74E+00,NA,4.47E-02,5.22E-06,3.16E+00,1.08E-13,NA,1.26E+03,5.08E-05,1.00E-01,9.95E-09,2.44E+02,2.77E+02,1.00E-01,1.00E+00,1.65E+05,2.41E-12
Azobenzene,000103-33-3,1.65E-04,2.93E+02,2.34E-01,4.69E-02,1.20E+00,3.59E-02,7.47E-06,1.00E+01,5.52E-04,NA,3.76E+03,5.14E-02,3.82E+00,5.22E-05,6.85E+01,1.82E+02,NA,1.00E+00,6.40E+00,3.61E-04
BHC (non Lindane),000000-07-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Barium,007440-39-3,1.50E-04,1.90E+03,1.50E-01,3.75E-02,3.62E+00,NA,NA,4.00E+00,NA,4.10E+01,NA,1.00E-03,NA,3.50E-04,7.27E+02,1.37E+02,NA,7.00E-02,NA,NA
Barium Cyanide,000542-62-1,NA,NA,NA,NA,NA,NA,NA,4.00E+00,NA,NA,NA,1.00E-03,NA,NA,NA,1.89E+02,NA,7.00E-02,1.71E+04,NA
Baygon,000114-26-1,8.28E-07,2.90E+02,5.06E+00,1.01E+00,1.12E+00,2.57E-02,6.58E-06,4.68E+00,5.85E-08,NA,6.00E+01,1.07E-03,1.52E+00,2.62E-07,8.70E+01,2.09E+02,1.00E-01,1.00E+00,1.86E+03,9.68E-06
Bayleton,043121-43-3,1.47E-05,3.77E+02,9.52E-01,1.90E-01,1.22E+00,2.24E-02,5.65E-06,3.12E+01,3.32E-09,NA,2.99E+02,2.44E-03,2.77E+00,4.65E-06,8.20E+01,2.94E+02,1.00E-01,1.00E+00,7.15E+01,1.50E-08
Baythroid,068359-37-5,2.23E-02,4.48E+02,1.36E-02,2.73E-03,NA,3.31E-02,3.87E-06,2.16E+02,1.19E-06,NA,1.31E+05,5.15E-02,5.95E+00,7.04E-03,6.00E+01,4.34E+02,1.00E-01,1.00E+00,3.00E-03,1.50E-10
Benefin,001861-40-1,4.87E-03,3.70E+02,3.29E-02,6.58E-03,NA,3.94E-02,4.60E-06,1.44E+03,1.19E-02,NA,1.64E+04,6.75E-02,5.29E+00,1.54E-03,6.60E+01,3.35E+02,1.00E-01,1.00E+00,1.00E-01,6.53E-05
Benomyl,017804-35-2,3.30E-06,5.20E+02,2.27E+00,4.54E-01,NA,4.33E-02,5.06E-06,1.16E+01,2.02E-10,NA,3.36E+02,9.43E-04,2.12E+00,1.04E-06,1.40E+02,2.90E+02,1.00E-01,1.00E+00,3.80E+00,3.70E-09
Bentazon,025057-89-0,5.47E-06,4.15E+02,1.69E+00,3.38E-01,NA,4.92E-02,5.74E-06,1.63E+01,8.91E-08,NA,1.00E+01,2.52E-03,2.34E+00,1.73E-06,1.38E+02,2.40E+02,1.00E-01,1.00E+00,5.00E+02,3.45E-06
Benz[a]anthracene,000056-55-3,1.44E-02,4.38E+02,1.76E-02,3.51E-03,NA,5.09E-02,5.94E-06,2.60E+02,4.91E-04,NA,1.77E+05,5.52E-01,5.76E+00,4.55E-03,8.40E+01,2.28E+02,1.30E-01,1.00E+00,9.40E-03,2.10E-07
Benzaldehyde,000100-52-7,7.55E-07,1.79E+02,5.33E+00,1.07E+00,1.04E+00,7.44E-02,9.46E-06,4.40E+00,1.09E-03,NA,1.11E+01,3.83E-03,1.48E+00,2.39E-07,-2.60E+01,1.06E+02,NA,1.00E+00,6.95E+03,1.27E+00
Benzene,000071-43-2,3.37E-06,8.00E+01,2.24E+00,4.48E-01,8.77E-01,8.95E-02,1.03E-05,4.27E+00,2.27E-01,NA,1.46E+02,1.49E-02,2.13E+00,1.07E-06,5.50E+00,7.81E+01,NA,1.00E+00,1.79E+03,9.48E+01
"Benzene, Ethyldimethyl",029224-55-3,5.47E-04,1.94E+02,1.17E-01,2.34E-02,NA,7.25E-02,8.47E-06,NA,4.17E-01,NA,1.20E+03,2.12E-01,4.34E+00,1.73E-04,-4.95E+01,1.34E+02,NA,1.00E+00,1.77E+01,6.22E-01
"Benzene, Ethylmethyl",025550-14-5,1.07E-04,1.62E+02,3.02E-01,6.04E-02,NA,7.80E-02,9.11E-06,NA,2.05E-01,NA,7.16E+02,8.57E-02,3.63E+00,3.37E-05,-6.23E+01,1.20E+02,NA,1.00E+00,7.45E+01,2.88E+00
"Benzene, Methylpropenyl",000768-00-3,NA,1.95E+02,NA,NA,9.14E-01,5.53E-02,7.67E-06,1.62E+02,2.78E-01,NA,1.33E+03,1.03E-01,3.85E+00,NA,-2.35E+01,1.32E+02,NA,1.00E+00,6.02E+01,4.70E-01
"Benzene, Methylpropyl",028729-54-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Benzene, Trimethyl",025551-13-7,6.58E-05,1.65E+02,4.00E-01,8.00E-02,NA,7.80E-02,9.11E-06,NA,3.59E-01,NA,6.02E+02,6.21E-02,3.42E+00,2.08E-05,-4.47E+01,1.20E+02,NA,1.00E+00,4.82E+01,2.10E+00
"Benzenediamine-2-methyl sulfate, 1,4-",006369-59-1,4.69E-12,5.50E+02,5.58E+03,1.12E+03,NA,5.21E-02,6.09E-06,3.16E+00,8.86E-22,NA,3.84E+01,3.04E-07,-3.73E+00,1.48E-12,2.36E+02,2.20E+02,1.00E-01,1.00E+00,1.00E+06,2.90E-14
Benzenethiol,000108-98-5,8.28E-06,1.69E+02,1.33E+00,2.66E-01,1.08E+00,7.29E-02,9.45E-06,2.14E+01,1.37E-02,NA,2.34E+02,1.78E-02,2.52E+00,2.62E-06,-1.49E+01,1.10E+02,NA,1.00E+00,8.35E+02,1.93E+00
Benzidine,000092-87-5,5.47E-07,4.01E+02,6.43E+00,1.29E+00,1.22E+00,3.51E-02,7.48E-06,3.56E+00,2.88E-09,NA,1.19E+03,1.13E-03,1.34E+00,1.73E-07,1.20E+02,1.84E+02,1.00E-01,1.00E+00,3.22E+02,8.98E-07
Benzo(b+k)fluoranthene,000000-07-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30E-01,1.00E+00,NA,NA
Benzo(j)fluoranthene,000205-82-3,NA,4.43E+02,NA,NA,NA,4.76E-02,5.56E-06,4.99E+03,8.30E-06,NA,5.99E+05,6.90E-01,6.11E+00,NA,1.66E+02,2.52E+02,1.30E-01,1.00E+00,2.50E-03,2.62E-08
Benzo[a]pyrene,000050-32-8,3.37E-02,4.95E+02,1.07E-02,2.14E-03,NA,4.76E-02,5.56E-06,5.15E+03,1.87E-05,NA,5.87E+05,7.13E-01,6.13E+00,1.07E-02,1.77E+02,2.52E+02,1.30E-01,1.00E+00,1.62E-03,5.49E-09
Benzo[b]fluoranthene,000205-99-2,1.51E-02,4.43E+02,1.71E-02,3.42E-03,NA,4.76E-02,5.56E-06,3.02E+03,2.69E-05,NA,5.99E+05,4.17E-01,5.78E+00,4.76E-03,1.68E+02,2.52E+02,1.30E-01,1.00E+00,1.50E-03,5.00E-07
"Benzo[g,h,i]perylene",000191-24-2,1.07E-01,4.86E+02,5.50E-03,1.10E-03,NA,4.48E-02,5.23E-06,1.10E+04,1.35E-05,NA,1.95E+06,1.12E+00,6.63E+00,3.37E-02,2.78E+02,2.76E+02,1.30E-01,1.00E+00,2.60E-04,1.00E-10
Benzo[k]fluoranthene,000207-08-9,3.22E-02,4.80E+02,1.10E-02,2.20E-03,NA,4.76E-02,5.56E-06,4.99E+03,2.39E-05,NA,5.87E+05,6.91E-01,6.11E+00,1.02E-02,2.17E+02,2.52E+02,1.30E-01,1.00E+00,8.00E-04,9.65E-10
"Benzofluoranthenes, total",000000-04-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Benzofluorene, 2,3-",000243-17-4,1.47E-02,3.70E+02,1.73E-02,3.47E-03,NA,5.27E-02,6.16E-06,2.98E+03,1.60E-04,NA,9.70E+04,6.54E-01,5.77E+00,4.65E-03,2.12E+02,2.16E+02,1.00E-01,1.00E+00,4.00E-03,5.50E-08
Benzoic Acid,000065-85-0,1.85E-06,2.49E+02,3.17E+00,6.34E-01,1.27E+00,7.02E-02,9.79E-06,3.16E+00,1.56E-06,NA,1.66E+01,5.65E-03,1.87E+00,5.86E-07,1.22E+02,1.22E+02,1.00E-01,1.00E+00,3.40E+03,7.00E-04
"Benzoic acid, 3,5-dichloro-",000051-36-5,NA,3.01E+02,NA,NA,NA,5.73E-02,6.69E-06,3.16E+00,1.35E-06,NA,4.26E+01,1.31E-02,3.00E+00,NA,1.88E+02,1.91E+02,1.00E-01,1.00E+00,1.47E+02,3.59E-05
"Benzoic acid, 4-hydroxy-, methyl ester",000099-76-3,2.28E-06,2.52E+02,2.81E+00,5.62E-01,NA,6.67E-02,7.79E-06,9.12E+00,9.12E-08,NA,8.63E+01,4.40E-03,1.96E+00,7.20E-07,1.31E+02,1.52E+02,1.00E-01,1.00E+00,2.50E+03,8.55E-04
Benzothiazole,000095-16-9,2.56E-06,2.31E+02,2.63E+00,5.26E-01,1.25E+00,6.18E-02,9.12E-06,7.50E+00,1.53E-05,NA,8.47E+02,5.92E-03,2.01E+00,8.08E-07,2.00E+00,1.35E+02,1.00E-01,1.00E+00,4.30E+03,7.42E-02
Benzotrichloride,000098-07-7,1.99E-04,2.21E+02,2.11E-01,4.21E-02,1.37E+00,3.13E-02,7.75E-06,1.73E+02,1.06E-02,NA,1.00E+03,4.87E-02,3.90E+00,6.28E-05,-5.00E+00,1.95E+02,NA,1.00E+00,5.30E+01,4.14E-01
Benzyl Alcohol,000100-51-6,3.15E-07,2.05E+02,8.86E+00,1.77E+00,1.04E+00,7.31E-02,9.37E-06,1.37E+00,1.38E-05,NA,2.15E+01,2.09E-03,1.10E+00,9.95E-08,-1.52E+01,1.08E+02,1.00E-01,1.00E+00,4.29E+04,9.40E-02
Benzyl Chloride,000100-44-7,4.99E-06,1.79E+02,1.78E+00,3.57E-01,1.10E+00,6.34E-02,8.81E-06,1.53E+01,1.68E-02,NA,4.46E+02,1.03E-02,2.30E+00,1.58E-06,-4.50E+01,1.27E+02,NA,1.00E+00,5.25E+02,1.23E+00
Benzyl violet 4B,001694-09-3,NA,1.28E+03,NA,NA,NA,2.33E-02,2.72E-06,NA,1.99E-30,NA,1.23E+09,3.28E-08,-8.30E-01,NA,3.50E+02,7.36E+02,1.00E-01,1.00E+00,1.63E-05,4.33E-40
Beryllium and compounds,007440-41-7,1.00E-03,2.47E+03,1.00E-02,2.50E-03,1.85E+00,NA,NA,1.00E+02,NA,7.90E+02,NA,1.00E-03,NA,9.00E-07,9.86E+02,9.01E+00,NA,7.00E-03,NA,0.00E+00
Beryllium oxide,001304-56-9,NA,NA,NA,NA,3.01E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,2.58E+03,2.50E+01,NA,1.00E+00,NA,NA
Beryllium sulfate,013510-49-1,NA,NA,NA,NA,2.50E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,5.60E+02,1.05E+02,NA,1.00E+00,3.20E+04,NA
Bidrin,000141-66-2,2.50E-08,4.00E+02,3.85E+01,7.70E+00,1.22E+00,2.50E-02,6.41E-06,3.16E+00,2.06E-09,NA,1.66E+01,7.31E-05,0.00E+00,7.90E-09,7.92E+01,2.37E+02,1.00E-01,1.00E+00,1.00E+06,1.60E-04
Bifenox,042576-02-3,7.55E-04,4.25E+02,9.71E-02,1.94E-02,NA,3.88E-02,4.54E-06,4.20E+02,4.42E-06,NA,3.68E+03,1.79E-02,4.48E+00,2.39E-04,8.50E+01,3.42E+02,1.00E-01,1.00E+00,3.98E-01,1.00E-07
Biphenthrin,082657-04-3,NA,4.37E+02,NA,NA,1.20E+00,1.84E-02,4.50E-06,2.00E+02,4.09E-05,NA,2.27E+06,1.74E+00,8.15E+00,NA,6.90E+01,4.23E+02,1.00E-01,1.00E+00,1.00E-01,1.80E-07
"Biphenyl, 1,1'-",000092-52-4,2.39E-04,2.56E+02,1.89E-01,3.79E-02,1.04E+00,4.71E-02,7.56E-06,4.37E+02,1.26E-02,NA,5.13E+03,9.43E-02,3.98E+00,7.54E-05,6.90E+01,1.54E+02,NA,1.00E+00,6.94E+00,8.93E-03
Bis(2-chloro-1-methylethyl) ether,000108-60-1,7.55E-06,1.87E+02,1.40E+00,2.81E-01,1.10E+00,3.99E-02,7.36E-06,1.20E+01,3.03E-03,NA,8.29E+01,7.64E-03,2.48E+00,2.39E-06,-9.70E+01,1.71E+02,NA,1.00E+00,1.70E+03,5.60E-01
Bis(2-chloroethoxy)methane,000111-91-1,4.99E-07,2.18E+02,6.78E+00,1.36E+00,NA,6.12E-02,7.15E-06,3.32E+00,1.57E-04,NA,1.44E+01,1.22E-03,1.30E+00,1.58E-07,-3.20E+01,1.73E+02,1.00E-01,1.00E+00,7.80E+03,1.32E-01
Bis(2-chloroethyl)ether,000111-44-4,4.87E-07,1.79E+02,6.87E+00,1.37E+00,1.22E+00,5.67E-02,8.71E-06,1.00E+01,6.95E-04,NA,3.22E+01,1.78E-03,1.29E+00,1.54E-07,-5.19E+01,1.43E+02,NA,1.00E+00,1.72E+04,1.55E+00
Bis(2-ethylhexyl)phthalate,000117-81-7,9.95E-01,3.84E+02,1.50E-03,3.01E-04,9.81E-01,1.73E-02,4.18E-06,5.88E+02,1.10E-05,NA,1.20E+05,1.13E+00,7.60E+00,3.15E-01,-5.50E+01,3.91E+02,1.00E-01,1.00E+00,2.70E-01,1.42E-07
Bis(Octanoyloxy)Di-N-Butyl Stannane,004731-77-5,1.28E-01,4.38E+02,4.94E-03,9.88E-04,NA,2.94E-02,3.44E-06,1.31E+04,6.83E-01,NA,5.06E+04,5.47E-02,6.71E+00,4.05E-02,1.58E+02,5.19E+02,1.00E-01,1.00E+00,1.46E-04,4.20E-08
Bis(chloromethyl)ether,000542-88-1,9.29E-08,1.06E+02,1.80E+01,3.60E+00,1.32E+00,7.63E-02,1.04E-05,3.16E+00,1.78E-01,NA,9.70E+00,8.55E-04,5.70E-01,2.94E-08,-4.15E+01,1.15E+02,NA,1.00E+00,2.20E+04,2.94E+01
Bis(oleoyloxy)dibutyl tin,013323-62-1,3.15E+08,6.77E+02,1.77E-08,3.54E-09,NA,2.21E-02,2.58E-06,1.00E+02,1.53E+02,NA,8.27E+09,2.68E+03,1.61E+01,9.95E+07,2.95E+02,7.96E+02,1.00E-01,1.00E+00,7.96E-07,6.50E-16
Bisphenol A,000080-05-7,5.22E-05,2.20E+02,4.57E-01,9.14E-02,NA,5.09E-02,5.94E-06,4.38E+01,3.74E-10,NA,3.77E+04,1.32E-02,3.32E+00,1.65E-05,1.53E+02,2.28E+02,1.00E-01,1.00E+00,1.20E+02,2.27E-07
Boron And Borates Only,007440-42-8,8.00E-04,4.00E+03,4.00E+00,1.00E+00,2.34E+00,NA,NA,NA,NA,3.00E+00,NA,1.00E-03,NA,1.50E-03,2.08E+03,1.38E+01,NA,1.00E+00,NA,NA
Boron Trichloride,010294-34-5,NA,1.25E+01,NA,NA,4.79E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,-1.07E+02,1.17E+02,NA,1.00E+00,NA,1.00E+00
Boron Trifluoride,007637-07-2,NA,-1.27E+02,NA,NA,2.77E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,-1.27E+02,6.78E+01,NA,1.00E+00,3.32E+06,3.66E+04
Bromacil,000314-40-9,3.22E-06,4.21E+02,2.30E+00,4.60E-01,1.55E+00,2.67E-02,7.00E-06,3.20E+00,5.27E-09,NA,6.66E+01,1.35E-03,2.11E+00,1.02E-06,1.58E+02,2.61E+02,1.00E-01,1.00E+00,8.15E+02,3.07E-07
Bromate,015541-45-4,2.50E-02,NA,1.50E+00,3.75E-01,NA,NA,NA,4.20E+02,NA,7.50E+00,NA,1.00E-03,NA,2.00E-02,NA,7.99E+01,NA,1.00E+00,NA,NA
Bromine,007726-95-6,2.50E-02,5.95E+01,1.50E+00,3.75E-01,3.10E+00,NA,NA,NA,NA,7.50E+00,NA,1.00E-03,NA,2.00E-02,-7.25E+00,1.60E+02,NA,1.00E+00,3.36E+04,2.12E+02
"Bromo-2-chloroethane, 1-",000107-04-0,NA,1.07E+02,NA,NA,1.74E+00,6.59E-02,1.08E-05,8.60E+00,3.72E-02,NA,3.96E+01,4.64E-03,1.92E+00,NA,-1.67E+01,1.43E+02,NA,1.00E+00,6.90E+03,3.31E+01
"Bromo-3-fluorobenzene, 1-",001073-06-9,2.08E-05,1.50E+02,7.80E-01,1.56E-01,1.71E+00,4.62E-02,9.44E-06,3.92E+01,2.57E-01,NA,3.75E+02,1.42E-02,2.92E+00,6.57E-06,-1.91E+01,1.75E+02,NA,1.00E+00,3.78E+02,4.01E+00
"Bromo-4-Ethylbenzene, 1-",001585-07-5,2.09E-04,2.04E+02,2.05E-01,4.09E-02,1.34E+00,3.63E-02,7.90E-06,1.80E+02,1.51E-01,NA,7.16E+02,5.79E-02,3.92E+00,6.59E-05,-4.35E+01,1.85E+02,NA,1.00E+00,4.66E+01,7.00E-01
Bromoacetic acid,000079-08-3,6.43E-08,2.08E+02,2.23E+01,4.45E+00,1.93E+00,7.20E-02,1.17E-05,3.16E+00,2.67E-07,NA,1.44E+00,4.87E-04,4.10E-01,2.03E-08,5.00E+01,1.39E+02,1.00E-01,1.00E+00,1.75E+06,1.19E-01
"Bromoacetophenone, 3-",002142-63-4,7.38E-06,2.41E+02,1.42E+00,2.84E-01,NA,5.57E-02,6.51E-06,5.15E+00,1.86E-04,NA,8.32E+01,5.24E-03,2.47E+00,2.33E-06,7.50E+00,1.99E+02,1.00E-01,1.00E+00,1.73E+03,4.50E-02
Bromobenzene,000108-86-1,2.44E-05,1.56E+02,7.10E-01,1.42E-01,1.50E+00,5.37E-02,9.30E-06,2.29E+01,1.01E-01,NA,2.34E+02,2.00E-02,2.99E+00,7.72E-06,-3.06E+01,1.57E+02,NA,1.00E+00,4.46E+02,4.18E+00
Bromochloromethane,000074-97-5,6.43E-07,6.80E+01,5.86E+00,1.17E+00,1.93E+00,7.87E-02,1.22E-05,4.00E+00,5.97E-02,NA,2.17E+01,2.55E-03,1.41E+00,2.03E-07,-8.79E+01,1.29E+02,NA,1.00E+00,1.67E+04,1.43E+02
Bromodichloromethane,000075-27-4,2.50E-06,9.00E+01,2.66E+00,5.33E-01,1.98E+00,5.63E-02,1.07E-05,9.70E+00,8.67E-02,NA,3.18E+01,4.02E-03,2.00E+00,7.90E-07,-5.70E+01,1.64E+02,NA,1.00E+00,3.03E+03,5.74E+01
"Bromodiphenyl Ether, p-",000101-55-3,2.18E-03,3.10E+02,5.25E-02,1.05E-02,1.61E+00,2.78E-02,7.37E-06,8.43E+02,4.78E-03,NA,3.08E+03,1.20E-01,4.94E+00,6.88E-04,1.87E+01,2.49E+02,1.00E-01,1.00E+00,5.69E+00,1.50E-03
"Bromofluorobenzene, p-",000460-00-4,3.01E-05,1.52E+02,6.30E-01,1.26E-01,1.59E+00,4.48E-02,9.05E-06,5.00E+01,2.57E-01,NA,3.75E+02,1.82E-02,3.08E+00,9.50E-06,-1.74E+01,1.75E+02,NA,1.00E+00,4.42E+02,3.74E+00
Bromoform,000075-25-2,6.28E-06,1.49E+02,1.56E+00,3.12E-01,2.88E+00,3.57E-02,1.04E-05,1.34E+01,2.19E-02,NA,3.18E+01,2.35E-03,2.40E+00,1.98E-06,8.00E+00,2.53E+02,1.00E-01,1.00E+00,3.10E+03,5.40E+00
Bromomethane,000074-83-9,3.87E-07,3.50E+00,7.86E+00,1.57E+00,1.68E+00,1.00E-01,1.35E-05,2.83E+00,3.00E-01,NA,1.32E+01,2.84E-03,1.19E+00,1.22E-07,-9.37E+01,9.49E+01,NA,1.00E+00,1.52E+04,1.62E+03
"Bromophenol, p-",000106-41-2,9.73E-06,2.38E+02,1.21E+00,2.42E-01,NA,6.12E-02,7.15E-06,1.50E+01,6.17E-06,NA,3.00E+02,8.82E-03,2.59E+00,3.07E-06,6.64E+01,1.73E+02,1.00E-01,1.00E+00,1.40E+04,1.17E-02
"Bromophenyl-phenyl phthalate, 4-",000000-03-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Bromophos,002104-96-3,4.05E-03,1.41E+02,3.66E-02,7.32E-03,NA,3.71E-02,4.34E-06,3.93E+03,8.38E-03,NA,2.02E+03,4.01E-02,5.21E+00,1.28E-03,5.35E+01,3.66E+02,1.00E-01,1.00E+00,3.00E-01,1.28E-04
"Bromopyridine, 2-",000109-04-6,6.58E-07,1.95E+02,5.78E+00,1.16E+00,NA,6.50E-02,7.60E-06,4.02E+00,3.15E-04,NA,1.15E+02,1.79E-03,1.42E+00,2.08E-07,8.86E+00,1.58E+02,1.00E-01,1.00E+00,2.08E+04,7.70E-01
Bromotrichloromethane,000075-62-7,8.47E-06,1.05E+02,1.31E+00,2.62E-01,2.01E+00,3.54E-02,9.66E-06,2.17E+01,1.52E-02,NA,4.39E+01,5.82E-03,2.53E+00,2.68E-06,-5.70E+00,1.98E+02,NA,1.00E+00,1.16E+03,3.90E+01
Bromoxynil,001689-84-5,6.14E-05,3.29E+02,4.16E-01,8.32E-02,NA,4.47E-02,5.23E-06,8.01E+01,5.40E-09,NA,3.30E+02,7.83E-03,3.39E+00,1.94E-05,1.90E+02,2.77E+02,1.00E-01,1.00E+00,1.30E+02,4.72E-08
Bromoxynil Octanoate,001689-99-2,6.28E-03,4.14E+02,2.84E-02,5.68E-03,NA,3.48E-02,4.07E-06,NA,1.30E-03,NA,4.25E+03,3.32E-02,5.40E+00,1.98E-03,4.55E+01,4.03E+02,1.00E-01,1.00E+00,8.00E-02,4.80E-06
"Butadiene, 1,3-",000106-99-0,2.44E-06,-4.40E+00,2.70E+00,5.40E-01,6.15E-01,1.00E-01,1.03E-05,9.55E+00,3.01E+00,NA,3.96E+01,1.64E-02,1.99E+00,7.72E-07,-1.09E+02,5.41E+01,NA,1.00E+00,7.35E+02,2.11E+03
"Butanediol, 2,3-",000513-85-9,3.01E-09,1.81E+02,1.32E+02,2.63E+01,NA,9.45E-02,1.10E-05,3.16E+00,1.18E-06,NA,1.00E+00,1.20E-04,-9.20E-01,9.50E-10,7.60E+00,9.01E+01,1.00E-01,1.00E+00,1.00E+06,5.50E-01
Butanol,035296-72-1,NA,9.95E+01,NA,NA,NA,1.08E-01,1.26E-05,NA,3.70E-04,NA,2.92E+00,1.53E-03,6.10E-01,NA,-1.15E+02,7.41E+01,1.00E-01,1.00E+00,1.25E+05,6.70E+00
"Butanol, N-",000071-36-3,1.90E-07,1.18E+02,1.19E+01,2.38E+00,8.10E-01,9.00E-02,1.01E-05,3.16E+00,3.60E-04,NA,3.47E+00,2.31E-03,8.80E-01,5.99E-08,-8.98E+01,7.41E+01,1.00E-01,1.00E+00,6.32E+04,6.70E+00
"Butanone-2, 4-chloro-4,4-difluoro",000000-00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Butyl Alcohol, t-",000075-65-0,5.60E-08,8.24E+01,2.41E+01,4.82E+00,7.89E-01,8.90E-02,9.94E-06,5.00E+00,3.70E-04,NA,2.11E+00,1.03E-03,3.50E-01,1.77E-08,2.54E+01,7.41E+01,1.00E-01,1.00E+00,1.00E+06,4.07E+01
Butyl Benzyl Phthlate,000085-68-7,1.34E-03,3.70E+02,6.95E-02,1.39E-02,1.12E+00,2.08E-02,5.17E-06,1.63E+01,5.15E-05,NA,7.16E+03,3.85E-02,4.73E+00,4.24E-04,-3.50E+01,3.12E+02,1.00E-01,1.00E+00,2.69E+00,8.25E-06
"Butyl Formate, tert-",000762-75-4,NA,8.25E+01,NA,NA,8.72E-01,7.14E-02,8.71E-06,2.82E+00,2.82E-02,NA,7.91E+00,2.58E-03,1.19E+00,NA,-6.64E+01,1.02E+02,NA,1.00E+00,1.96E+04,7.86E+01
"Butyl alcohol, sec-",000078-92-2,1.02E-07,9.95E+01,1.70E+01,3.41E+00,8.06E-01,8.99E-02,1.01E-05,3.16E+00,3.70E-04,NA,2.92E+00,1.53E-03,6.10E-01,3.22E-08,-1.15E+02,7.41E+01,1.00E-01,1.00E+00,1.81E+05,6.70E+00
Butylacetate,000123-86-4,1.51E-06,1.26E+02,3.57E+00,7.15E-01,8.83E-01,6.32E-02,8.12E-06,6.94E+00,1.15E-02,NA,1.85E+01,5.32E-03,1.78E+00,4.76E-07,-7.80E+01,1.16E+02,1.00E-01,1.00E+00,8.40E+03,1.15E+01
Butylate,002008-41-5,3.53E-04,1.38E+02,1.51E-01,3.02E-02,9.40E-01,2.32E-02,5.79E-06,2.54E+02,3.45E-03,NA,3.86E+02,5.41E-02,4.15E+00,1.12E-04,6.03E+01,2.17E+02,1.00E-01,1.00E+00,4.50E+01,1.30E-02
Butylated hydroxyanisole,025013-16-5,NA,2.68E+02,NA,NA,NA,5.95E-02,6.96E-06,5.71E+01,4.78E-05,NA,8.41E+02,3.25E-02,3.50E+00,NA,5.10E+01,1.80E+02,1.00E-01,1.00E+00,7.43E+02,2.34E-03
Butylated hydroxytoluene,000128-37-0,3.15E-03,2.65E+02,4.24E-02,8.48E-03,8.94E-01,2.25E-02,5.57E-06,6.46E+02,1.38E-04,NA,1.48E+04,2.23E-01,5.10E+00,9.95E-04,7.10E+01,2.20E+02,1.00E-01,1.00E+00,6.00E-01,5.16E-03
